,Time,Country,Series,Pay period,Value
80,2018,Spain,In 2021 constant prices at 2021 USD PPPs,Hourly,8.5
81,2019,Spain,In 2021 constant prices at 2021 USD PPPs,Hourly,10.32
82,2020,Spain,In 2021 constant prices at 2021 USD PPPs,Hourly,10.94
83,2021,Spain,In 2021 constant prices at 2021 USD PPPs,Hourly,10.66
84,2001,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,0.98
85,2002,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.05
86,2003,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.12
87,2004,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.46
88,2005,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.52
89,2006,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.51
90,2007,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.5
91,2008,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.47
92,2009,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.51
93,2010,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.52
94,2011,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.57
95,2012,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.61
96,2013,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.64
97,2014,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.66
98,2015,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,1.73
99,2016,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,2.14
100,2017,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,2.08
101,2018,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,2.04
102,2019,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,2.23
103,2020,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,2.29
104,2021,Türkiye,In 2021 constant prices at 2021 USD exchange rates,Hourly,2.33
105,2001,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,23289.18
106,2002,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,23242.88
107,2003,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,24112.55
108,2004,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,24077.47
109,2005,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,24561.57
110,2006,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,24420.01
111,2007,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,24877.71
112,2008,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,24560.38
113,2009,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,25583.71
114,2010,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,25430.81
115,2011,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,25526.75
116,2012,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,25486.11
117,2013,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,25392.89
118,2014,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,26382.35
119,2015,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,26284.07
120,2016,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,26207.85
121,2017,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,26775.18
122,2018,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,26646.79
123,2019,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,27102.57
124,2020,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,27554.28
125,2021,Luxembourg,In 2021 constant prices at 2021 USD PPPs,Annual,27799.44
126,2001,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,17256.58
127,2002,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,17383.65
128,2003,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,18049.51
129,2004,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,18674.18
130,2005,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,19177.22
131,2006,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,19904.43
132,2007,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,21227.49
133,2008,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,21927.34
134,2009,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,22495.57
135,2010,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,22544.65
136,2011,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,22098.77
137,2012,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,22606.46
138,2013,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,22875.15
139,2014,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,23320.06
140,2015,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,24075.08
141,2016,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,24738.29
142,2017,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,25091.69
143,2018,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,25586.05
144,2019,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,26480.92
145,2020,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,28443.02
146,2021,New Zealand,In 2021 constant prices at 2021 USD exchange rates,Annual,29019.66
147,2001,United Kingdom,In 2021 constant prices at 2021 USD exchange rates,Annual,16262.94
148,2002,United Kingdom,In 2021 constant prices at 2021 USD exchange rates,Annual,17397.32
